S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
34304,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,2.0,85PF9502-202
34305,10,Standard,NAS1791C3-1,-,Release,T,NUT,,,,,1.0,85PF9502-202
34307,10,General,85PF9502-223,A,Release,T,BRACKET,,85PF9501-015,,5.0,1.0,85PF9502-221
34309,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,2.0,85PF9502-221
34310,10,Standard,MS20470AD5-6,-,Release,T,RIVET,,,,,2.0,85PF9502-221
34311,10,Standard,NAS1791C3-1,-,Release,T,NUT,,,,,1.0,85PF9502-221
34313,10,General,85PF9502-224,A,Release,T,BRACKET,,85PF9501-016,,5.0,1.0,85PF9502-222
34315,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,2.0,85PF9502-222
34316,10,Standard,MS20470AD5-6,-,Release,T,RIVET,,,,,2.0,85PF9502-222
34317,10,Standard,NAS1791C3-1,-,Release,T,NUT,,,,,1.0,85PF9502-222
34319,10,Material,85TK0010A51T3511.SEE 85TK-STD.BE,-,Release,T,EXTRUSION,,,,,1.0,85PF9531-203
34321,10,General,85PF9540-203,-,Release,T,BRACKET,,85PF9540-003,,2.0,1.0,85PF9540-201
34323,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,2.0,85PF9540-201
34324,10,Standard,NAS1791C3-1,-,Release,T,NUT,,,,,1.0,85PF9540-201
34326,10,General,85PF9580-233,-,Release,T,BRACKET,,85PF9580-009,,2.0,1.0,85PF9580-231
34328,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,4.0,85PF9580-231
34329,10,Standard,NAS1792C3-1,-,Release,T,NUT,,,,,2.0,85PF9580-231
34331,10,General,85PF9580-263,-,Release,T,BRACKET,,85PF9580-223,,1.0,1.0,85PF9580-261
34333,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,4.0,85PF9580-261
34334,10,Standard,NAS1792C3-1,-,Release,T,NUT,,,,,2.0,85PF9580-261
34336,10,Material,AMS-QQ-A-250/4-T3.-.S,-,Release,T,ALUMINUM ALLOY 2024,,,,,1.0,85PF9580-275
34338,10,General,85PF9580-293,A,Release,T,BRACKET,,85PF9580-025,,3.0,1.0,85PF9580-291
34340,10,Standard,MS20426AD3-5,-,Release,T,RIVET,,,,,4.0,85PF9580-291
34341,10,Standard,NAS1792C3-1,-,Release,T,NUT,,,,,2.0,85PF9580-291
34343,10,General,85PF9580-313,-,Release,T,BRACKET,,85PF9580-017,,3.0,1.0,85PF9580-311
34345,10,Standard,MS20426AD3,-,Release,T,RIVET,,,,,4.0,85PF9580-311
34346,10,Standard,NAS1792C3-1,-,Release,T,NUT,,,,,2.0,85PF9580-311
34359,10,Material,85TK0010A51T3511.SEE 85TK-STD.BE,-,Release,T,EXTRUSION,,,,,1.0,E6PF9530-503
34379,10,Material,AMS 5629-H1000.-.B,A,Release,T,"CRES BAR, FORGING & EXTRUSION, PH13-8MO",,,,,1.0,E6PF5901-303
35406,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6051-003
35422,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6052-003
35438,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6053-003
35440,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6053-005
35442,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6053-007
35457,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6054-003
35459,10,Material,FMS-3016.-.T,-,Release,T,"NICKEL ALLOY TUBING, INCONEL625",,,,,1.0,85P6054-005
